Mardrus_image,Mardrus_excerpt,Mathers_image,Mathers_excerpt
"T01, n0000(1) - Histoire du roi Schahriar et de son frère, le roi Schahzaman","...cette colonne se changea en un genni de haute taille, de forte carrure et de large poitrine, et qui portait sur sa tête une caisse. Il mit pied à terre et vint vers l’arbre sur lequel ils étaient et se tint au-dessous. Il enleva alors le couvercle de la caisse et en tira une grande boîte qu’il ouvrit, et aussitôt apparut une jeune fille désirable, éclatante de beauté, lumineuse à l’égal du soleil...","V01, n0000(1) - The tale of king Shahry\=ar and of his brother, king Shahzam\=an","...the smoke column changed to a Jinn\={\i} of great size, vast-shouldered, gigantically-breasted, and carrying on his head a box. He put foot to the earth, came towards the tree in which they were, and stopped below it. Then he lifted the lid of the box and took from it a large coffer which he also opened; and thereupon appeared a desirable young girl, bright in her beauty, shining like the sun."
"T01, n0000(2) - Histoire du roi Schahriar et de son frère, le roi Schahzaman","...le Roi envoya chercher la petite sœur qui vint et se jeta au cou de Schahrazade, et finit par se blottir auprès du lit. Alors le Roi se leva, et, prenant la vierge Schahrazade, il lui ravit sa virginité. Puis on se mit à causer.","V01, n0000(2) - The tale of king Shahry\=ar and of his brother, king Shahzam\=an","...the King sent for the little sister, who came and threw herself upon the neck of Shahraz\=ad, and lastly cowered down beside the bed. Then the King rose and, taking the maiden Shahraz\=d, ravished her virginity. Afterwards they spoke together…"
"T01, n0003 - Histoire du pécheur avec l’éfrit","...la fumée sortit entièrement, se condensa, se secoua et devint un éfrit dont la tête touchait aux nuages...","V01, n0003 - The fisherman and jinn\={\i}","...the smoke, to the utter amazement of the fisherman, came clear of the vase and, shaking and thickening, turned to an Ifr\={\i}t whose top reached to the clouds…"
"T01, n0007 - Histoire du pêcheur avec l'éfrit","...il vit que tout le palais était somptueusement tendu de tapisseries, et qu’au milieu de la cour intérieure il y avait un bassin surmonté de quatre lions en or rouge et qui laissaient l’eau jaillir de leur gueule en perles éclatantes et en pierreries ; tout autour il y avait de nombreux oiseaux qui ne pouvaient s’envoler hors du palais, empêchés par un large filet qui s’étendait au-dessus du palais.","V01, n0007 - The fisherman and jinn\={\i}","...all the place was splendid with star-wrought tapestries and, in the middle of the inner court, four lions of red gold held up a fountain, spraying so fair a water that it had the appearance of diamonds and white pearls. About the court were many birds, which could not fly away because of a great golden net stretched above the palace."
"T01, n0009 - Histoire du portefaix avec les jeunes filles","...elle offrit le vin, et tout le monde s’assit ; et le portefaix, au milieu d’elles, s’imaginait qu’il rêvait dans le sommeil.","V01, n0009 - The tale of the porter and the young girls","She brought in everything of which they might have need, handed the wine, and saw that all were seated. The porter with these girls on every hand thought that he was dreaming in his sleep."
"T01, n0012 - Histoire du portefaix avec les jeunes filles [Histoire du deuxième Saâlouk]","Le matin, je sortis de la grotte, et je continuai à marcher jusqu’à ce que je fusse arrivé à une ville splendide et prospère, au climat si merveilleux que l’hiver n’avait sur elle aucune prise et que le printemps la couvrait toujours de ses roses.","V01, n0012 - The tale of the porter and the young girls [Tale of the second Kalandar]","Next morning I left the cave and journeyed on until I came to a great and beautiful city, whose air was of such potent balm that Winter might not lay hand upon her but the Spring covered her with his roses all the year."
"T01, n0014 - Histoire du portefaix avec les jeunes filles [Histoire du troisième Saâlouk]","...tout d’un coup les clous des navires se mirent à s’envoler par milliers, avec tous les fers, et allèrent se coller sur la montagne ; et nos navires s’entr’ouvrirent et nous fûmes tous précipités à la mer.","V01, n0014 - The tale of the porter and the young girls [Tale of the third Kalandar]","...all the thousands of nails on our ten ships were suddenly wrenched away and flew to join themselves to the mountain. The ships opened out and fell asunder, and we were thrown into the sea."
"T01, n0015 - Histoire du portefaix avec les jeunes filles [Histoire du troisième Saâlouk]","...je le frappai au cou avec la chaîne d’or. Et aussitôt, ô ma maîtresse, le cheval étendit deux grandes ailes noires que je n’avais pas vues jusqu’à cet instant, cria d’une façon épouvantable, frappa trois fois le sol avec son sabot et s’envola avec moi dans les airs.","V01, n0015 - The tale of the porter and the young girls [Tale of the third Kalandar]","I slashed him over the neck with the gold chain and at once he spread two mighty black wings which I had not seen, cried out with a terrible voice and, stamping the earth four times with his foot, shot up into the air."
"T01, n0017 - Histoire du portefaix avec les jeunes filles [Histoire d'Amina]","...il se leva, apporta le Livre Sacré, et me dit : « Tu vas me jurer sur Al-Koran, que jamais tu ne choisiras un autre que moi, et que tu n’auras jamais d’inclination pour un autre ! »","V01, n0017 - The tale of the porter and the young girls [The tale of the portress Am\={\i}nah]","He rose and brought the sacred book to me, saying:  I wish you to swear on the Koran never to choose another than I, never to incline towards another. "
"T01, n0018(1) - Histoire du portefaix avec les jeunes filles","...à peine fut sentie l’odeur du cheveu brûlé, qu’il y eut un tremblement dans tout le palais, et une forte secousse ; et tout à coup la gennia apparut sous la forme d’une jeune fille richement habillée.","V01, n0018(1) - The tale of the porter and the young girls",No sooner had they smelt the smell of burning hair than the palace shook as at a great blow and the Jinn\={\i}yah stood before them in the likeness of a richly-habited young girl.
"T01, n0018(2) - Histoire de la femme coupée","...je passai toute la nuit à penser au moyen de trouver une pomme. Le lendemain, à l’aube, je sortis de ma maison et me dirigeai vers les jardins et me mis à les visiter un par un, arbre par arbre…","V01, n0018(2) - The tale of the woman cut in pieces","I studied all night how I might come by the fruit and at dawn made my way to the market-gardens, visiting them one by one, and tree by tree."
"T01, n0020 - Histoire du vizir Noureddine","...une charmante gennia prenait l’air à cette heure, sous les rayons de la lune, et, dans sa promenade, passa à côté de Hassan endormi, et le vit, et remarqua sa beauté et ses belles proportions, et elle fut fort émerveillée...","V01, n0020 - The tale of the waz\={\i}r N\=ur Al-d\={\i}","...a charming Jinn\={\i}yah was taking the air at that time under the moonlight, and happening to pass by the sleeping Hasan she halted on seeing his surpassing beauty."
"T01, n0027(1) - Histoire du bossu [Récit de l'intendant du roi de la Chine]","...un jour que j’étais assis dans ma boutique, je vis une adolescente, et de ma vie je ne vis de mes yeux quelque chose de plus beau. Elle était habillée de vêtements magnifiques, et était montée sur une mule. Devant elle, marchait un eunuque et, derrière elle, un autre eunuque.","V01, n0027(1) - The tale of the hunchback [The tale of the steward]","One day I was sitting in my shop when I beheld a girl, the like of whose beauty these eyes had never seen before. She was dressed with unusual magnificence and rode upon a mule; in front of her walked one black eunuch and behind her another."
"T01, n0027(2) - Histoire du bossu [Récit du médecin juif]","...Damas était un lieu enfoui au milieu des jardins, des eaux courantes, des arbres, des fruits et des oiseaux.","V01, n0027(2) - The tale of the hunchback [The tale of Jewish doctor]","We found the city of Damascus a place set in the midst of gardens with running waters, trees and birds in excess of all other places."
